created,d1,d2,d3,d4,d5,d6,d7,d8,lat,lng
2020-05-25T03:48:12.273Z,318.6,,,,,,,,34.666515,135.15946167
2020-05-25T03:48:16.355Z,318.2,,,,,,,,34.66651833,135.15944167
2020-05-25T03:48:20.462Z,317.1,,,,,,,,34.66651,135.15947667
2020-05-25T03:48:24.538Z,316.6,,,,,,,,34.66650167,135.159485
2020-05-25T03:48:28.637Z,316,,,,,,,,34.66651833,135.15945667
2020-05-25T03:48:32.684Z,315.8,,,,,,,,34.66651833,135.15946167
2020-05-25T03:48:36.796Z,315.5,,,,,,,,34.66653167,135.15942333
2020-05-25T03:48:40.868Z,315,,,,,,,,34.666545,135.15938667
2020-05-25T03:48:45.007Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:48:45.042Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:48:49.326Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:48:53.329Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:48:57.340Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:49:01.408Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:49:05.428Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:49:09.446Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:49:13.540Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:49:17.620Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:49:21.622Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:49:25.665Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:49:29.762Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:49:33.764Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:49:37.854Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:49:41.953Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:49:46.254Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:49:46.654Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:49:46.674Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:49:46.684Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:49:46.692Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:49:51.253Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:49:55.262Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:49:59.357Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:50:03.369Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:50:07.446Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:50:11.567Z,314.3,,,,,,,,34.66654333,135.15938167
2020-05-25T03:50:15.600Z,326.7,,,,,,,,34.66661,135.15923833
2020-05-25T03:50:19.667Z,326.1,,,,,,,,34.66659833,135.15928
2020-05-25T03:50:23.696Z,324.9,,,,,,,,34.666585,135.15937333
2020-05-25T03:50:27.800Z,324.5,,,,,,,,34.66659167,135.159405
2020-05-25T03:50:31.893Z,324.4,,,,,,,,34.66660167,135.15942333
2020-05-25T03:50:35.940Z,324.5,,,,,,,,34.66659167,135.15943667
